-4.26,23275.0
4.39,353.0
4.48,358.0
4.56,364.0
4.66,369.0
4.74,374.0
4.82,379.0
4.9,385.0
5.0,390.0
5.09,395.0
5.18,401.0
5.28,406.0
5.37,411.0
5.45,416.0
5.53,422.0
5.61,427.0
5.68,432.0
5.73,438.0
5.78,443.0
5.81,448.0
5.83,453.0
5.84,459.0
5.83,464.0
5.82,469.0
5.79,474.0
5.75,480.0
5.72,485.0
5.67,490.0
5.63,496.0
5.58,501.0
5.54,506.0
5.5,511.0
5.47,517.0
5.45,522.0
5.45,527.0
5.46,533.0
5.48,538.0
5.52,543.0
5.57,548.0
5.63,554.0
5.72,559.0
5.79,564.0
5.88,570.0
5.98,575.0
6.08,580.0
6.17,585.0
6.27,591.0
6.4,596.0
6.5,601.0
6.61,606.0
6.75,612.0
6.87,617.0
6.98,622.0
7.09,628.0
7.22,633.0
7.33,638.0
7.42,643.0
7.52,649.0
7.59,654.0
7.64,659.0
7.67,665.0
7.69,670.0
7.68,675.0
7.65,680.0
7.59,686.0
7.49,691.0
7.39,696.0
7.26,702.0
7.09,707.0
6.92,712.0
6.75,717.0
6.56,723.0
6.33,728.0
6.13,733.0
5.92,738.0
5.68,744.0
5.47,749.0
5.26,754.0
5.07,760.0
4.83,765.0
4.65,770.0
4.47,775.0
4.26,781.0
4.1,786.0
3.94,791.0
3.79,797.0
3.62,802.0
3.48,807.0
3.35,812.0
3.22,818.0
3.06,823.0
2.93,828.0
2.8,834.0
2.65,839.0
2.52,844.0
2.39,849.0
2.27,855.0
2.13,860.0
2.03,865.0
1.94,871.0
1.85,876.0
1.79,881.0
1.74,886.0
1.71,892.0
1.69,897.0
1.69,902.0
1.7,907.0
1.72,913.0
1.74,918.0
1.78,923.0
1.82,929.0
1.89,934.0
1.96,939.0
2.04,944.0
2.16,950.0
2.26,955.0
2.39,960.0
2.52,966.0
2.7,971.0
2.85,976.0
3.0,981.0
3.16,987.0
3.34,992.0
3.49,997.0
3.63,1003.0
3.78,1008.0
3.89,1013.0
3.99,1018.0
4.07,1024.0
4.15,1029.0
4.2,1034.0
4.23,1040.0
4.25,1045.0
4.25,1050.0
4.24,1055.0
4.22,1061.0
4.17,1066.0
4.13,1071.0
4.08,1076.0
4.01,1082.0
3.94,1087.0
3.87,1092.0
3.79,1098.0
3.69,1103.0
3.6,1108.0
3.5,1113.0
3.4,1119.0
3.32,1124.0
3.24,1129.0
3.18,1135.0
3.12,1140.0
3.09,1145.0
3.07,1150.0
3.07,1156.0
3.09,1161.0
3.11,1166.0
3.16,1172.0
3.22,1177.0
3.29,1182.0
3.36,1187.0
3.44,1193.0
3.55,1198.0
3.63,1203.0
3.71,1209.0
3.79,1214.0
3.85,1219.0
3.89,1224.0
3.92,1230.0
3.92,1235.0
3.91,1240.0
3.88,1245.0
3.82,1251.0
3.76,1256.0
3.69,1261.0
3.61,1267.0
3.49,1272.0
3.39,1277.0
3.27,1282.0
3.16,1288.0
3.01,1293.0
2.88,1298.0
2.75,1304.0
2.59,1309.0
2.47,1314.0
2.34,1319.0
2.22,1325.0
2.09,1330.0
1.98,1335.0
1.88,1341.0
1.78,1346.0
1.71,1351.0
1.65,1356.0
1.61,1362.0
1.58,1367.0
1.57,1372.0
1.57,1378.0
1.59,1383.0
1.62,1388.0
1.66,1393.0
1.71,1399.0
1.77,1404.0
1.82,1409.0
1.87,1414.0
1.92,1420.0
1.96,1425.0
1.99,1430.0
2.01,1436.0
2.03,1441.0
2.05,1446.0
2.05,1451.0
2.05,1457.0
2.04,1462.0
2.02,1467.0
1.99,1473.0
1.94,1478.0
1.9,1483.0
1.85,1488.0
1.8,1494.0
1.75,1499.0
1.72,1504.0
1.7,1510.0
1.69,1515.0
1.71,1520.0
1.74,1525.0
1.79,1531.0
1.88,1536.0
1.98,1541.0
2.09,1547.0
2.24,1552.0
2.37,1557.0
2.52,1562.0
2.67,1568.0
2.85,1573.0
3.0,1578.0
